weight,name
164,lewa
156,ręka
88,strona
82,człowieka
34,obowiązki
27,noga
22,autorskie
22,natury
20,sąd
14,dziecka
11,reka
10,kodeks
8,człowiek
8,obywatelskie
6,czlowieka
6,kobiet
5,jazdy
5,sprawiedliwość
4,dłoń
4,prawo
3,autor
3,dżungli
3,moje
3,studenta
3,zwierząt
2,boskie
2,człowieka
2,de morgana
2,i obowiązki
2,jazda
2,konstytucja
2,ludzi
2,ludzkie
2,łamanie
2,natura
2,nie ma
2,obywatel
2,osobiste
2,półkula
2,reguły
2,rząd
2,tak
2,ucznia
2,wolności
2,zasady
